party,date,vehicleno,volume,rate,product,amount,
GCC,2023-05-03, ,400,87.07,Diesel,34828,
GCC,2023-05-05, ,36.01,101.06,Petrol,3639.1706,
GCC,2023-05-07, ,40,87.07,Diesel,3482.7999999999997,
GCC,2023-05-08, ,40,87.07,Diesel,3482.7999999999997,
GCC,2023-05-08, ,20,87.07,Diesel,1741.3999999999999,
GCC,2023-05-09, ,20,87.07,Diesel,1741.3999999999999,
GCC,2023-05-15, ,2.97,101.06,Petrol,300.14820000000003,
GCC,2023-05-17, ,500,87.07,Diesel,43535,
GCC,2023-05-17, ,4.59,87.07,Diesel,399.65129999999994,
GCC,2023-05-17, ,3.36,101.06,Petrol,339.5616,
GCC,2023-05-19, ,4.95,101.06,Petrol,500.247,
GCC,2023-05-20, ,6.93,101.06,Petrol,700.3457999999999,
GCC,2023-05-23, ,1.97,101.06,Petrol,199.0882,
GCC,2023-05-23, ,1.97,101.06,Petrol,199.0882,
GCC,2023-05-24, ,8.61,101.06,Petrol,870.1265999999999,
GCC,2023-05-25, ,500,87.07,Diesel,43535,
GCC,2023-05-25, ,4.59,87.07,Diesel,399.65129999999994,
GCC,2023-05-26, ,50,87.07,Diesel,4353.5,
GCC,2023-05-30, ,800,87.07,Diesel,69656,
GCC,2023-05-31, ,8.92,101.06,Petrol,901.4552,
GCC,2023-06-08, ,7.14,101.06,Petrol,721.5684,
GCC,2023-06-08, ,800,87.07,Diesel,69656,
GCC,2023-06-13, ,700,87.07,Diesel,60948.99999999999,
GCC,2023-06-16, ,8.91,101.06,Petrol,900.4446,
GCC,2023-06-17, ,800,87.07,Diesel,69656,
GCC,2023-06-17, ,4.59,87.07,Diesel,399.65129999999994,
GCC,2023-06-21, ,4.94,101.06,Petrol,499.23640000000006,
GCC,2023-06-21, ,7.53,101.06,Petrol,760.9818,
GCC,2023-06-21, ,800,87.07,Diesel,69656,
GCC,2023-06-27, ,8.51,101.06,Petrol,860.0206,
GCC,2023-06-27, ,600,87.07,Diesel,52241.99999999999,
GCC,2023-06-29, ,4.95,101.06,Petrol,500.247,
GCC,2023-07-02, ,800,87.07,Diesel,69656,
SML,2023-06-01,KA01AG2219,240,87.07,Diesel,20896.8,
SML,2023-06-02,MP09HG4625,250,87.07,Diesel,21767.5,
SML,2023-06-03,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-06-04,KA01AH3353,15,87.07,Diesel,1306.05,
SML,2023-06-05,TN28BA9727,190,87.07,Diesel,16543.3,
SML,2023-06-06,KA01AH0745,230,87.07,Diesel,20026.1,
SML,2023-06-07,MP09HG4625,270,87.07,Diesel,23508.899999999998,
SML,2023-06-07,KA01AH3353,270,87.07,Diesel,23508.899999999998,
SML,2023-06-09,KA01AG2219,240,87.07,Diesel,20896.8,
SML,2023-06-10,KA01AE4419,248,87.07,Diesel,21593.359999999997,
SML,2023-06-11,TN28BA8814,336,87.07,Diesel,29255.519999999997,
SML,2023-06-11,TN28BB4539,349,87.07,Diesel,30387.429999999997,
SML,2023-06-13,MP09HG4625,250,87.07,Diesel,21767.5,
SML,2023-06-13,TN28BA9727,350,87.07,Diesel,30474.499999999996,
SML,2023-06-14,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-06-14,KA01AH0744,300,87.07,Diesel,26120.999999999996,
SML,2023-06-15,KA01AH0745,380,87.07,Diesel,33086.6,
SML,2023-06-15,KA01AH3353,290,87.07,Diesel,25250.3,
SML,2023-06-16,MP09HG4625,250,87.07,Diesel,21767.5,
SML,2023-06-19,KA01AE4419,240,87.07,Diesel,20896.8,
SML,2023-06-20,TN28BB4539,231,87.07,Diesel,20113.17,
SML,2023-06-21,KA01AH3353,270,87.07,Diesel,23508.899999999998,
SML,2023-06-21,KA01AG2219,240,87.07,Diesel,20896.8,
SML,2023-06-21,TN28BA9727,190,87.07,Diesel,16543.3,
SML,2023-06-22,MP09HG4625,270,87.07,Diesel,23508.899999999998,
SML,2023-06-23,KA01AH0745,230,87.07,Diesel,20026.1,
SML,2023-06-23,KA01AH0744,300,87.07,Diesel,26120.999999999996,
SML,2023-06-24,TN28BB4539,226,87.07,Diesel,19677.82,
SML,2023-06-24,KA01AE4419,260,87.07,Diesel,22638.199999999997,
SML,2023-06-27,MP09HG4625,250,87.07,Diesel,21767.5,
SML,2023-06-27,TN28BA9727,350,87.07,Diesel,30474.499999999996,
SML,2023-06-28,KA01AH3353,270,87.07,Diesel,23508.899999999998,
SML,2023-06-28,KA01AH0744,300,87.07,Diesel,26120.999999999996,
SML,2023-06-29,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-06-30,KA01AH0745,380,87.07,Diesel,33086.6,
SML,2023-06-30,KA01AE4419,240,87.07,Diesel,20896.8,
SML,2023-06-30,TN28BB4539,150,87.07,Diesel,13060.499999999998,
PAVITRA,2023-06-01,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-02,NL01Q5265,160,87.07,Diesel,13931.199999999999,
PAVITRA,2023-06-03,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-04,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-05,KA01AE8655,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-05,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-05,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-05,TN88J1811,235,87.07,Diesel,20461.449999999997,
PAVITRA,2023-06-09,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-09,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-09,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-09,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-09,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-12,NL01Q5265,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-13,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-14,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-14,KA21A3448,270,87.07,Diesel,23508.899999999998,
PAVITRA,2023-06-15,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-15,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-17,KA02AE4519,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-17,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-19,KA01AE8655,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-20,TN28BJ3957,311,87.07,Diesel,27078.769999999997,
PAVITRA,2023-06-20,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-20,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-21,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-21,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-24,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-25,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-26,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-26,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-26,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-26,KA01AE6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-27,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-27,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-30,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-30,KA01AE4519,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-30,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-30,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-30,NL01Q5265,260,87.07,Diesel,22638.199999999997,
BAWA,2023-06-05,KA19AB4314,180,87.07,Diesel,15672.599999999999,
BAWA,2023-06-15,KA19AC1973,180,87.07,Diesel,15672.599999999999,
BAWA,2023-06-15,KA19AC1973,70,87.07,Diesel,6094.9,
BAWA,2023-06-28,KA19AC1693,180,87.07,Diesel,15672.599999999999,
BAWA,2023-07-04,KA199043,50,87.07,Diesel,4353.5,
GCC,2023-07-07,,9.37,101.06,Petrol,946.9322,
GCC,2023-07-09,,19.79,101.06,Petrol,1999.9774,
GCC,2023-07-10,,8.31,101.06,Petrol,839.8086000000001,
GCC,2023-07-18,,800,87.07,Diesel,69656,
GCC,2023-07-20,,5.93,101.06,Petrol,599.2858,
GCC,2023-07-23,,7.42,101.06,Petrol,749.8652,
GCC,2023-07-24,,600,87.07,Diesel,52241.99999999999,
PAVITRA,2023-05-30,OpenBal,2508.825,87.07,Diesel,218443.39274999997,
PAVITRA,2023-07-03,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-06,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-06,KA21A3448,270,87.07,Diesel,23508.899999999998,
PAVITRA,2023-07-07,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-07,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-07,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-09,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-11,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-12,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-12,TN28BJ3957,349,87.07,Diesel,30387.429999999997,
PAVITRA,2023-07-12,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-13,KA01AE8655,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-13,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-13,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-14,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-14,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-15,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-16,AP31TH7592,280,87.07,Diesel,24379.6,
PAVITRA,2023-07-17,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-07-17,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-17,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-19,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-19,TN28BJ3957,100,87.07,Diesel,8707,
PAVITRA,2023-07-19,KA01AE4519,240,87.07,Diesel,20896.8,
PAVITRA,2023-07-19,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-20,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-21,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-22,KA01AE8655,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-22,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-23,NL01Q5265,260,87.07,Diesel,22638.199999999997,
SML,2023-07-05,KA01AH0744,280,87.07,Diesel,24379.6,
SML,2023-07-06,TN28BA9727,290,87.07,Diesel,25250.3,
SML,2023-07-07,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-07-10,KA01AH0744,300,87.07,Diesel,26120.999999999996,
SML,2023-07-10,KA01AH3353,270,87.07,Diesel,23508.899999999998,
SML,2023-07-12,MP09HG4625,250,87.07,Diesel,21767.5,
SML,2023-07-13,TN28AH1459,324,87.07,Diesel,28210.679999999997,
SML,2023-07-13,TN28AH1559,327,87.07,Diesel,28471.89,
SML,2023-07-14,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-07-15,KA01AH0745,230,87.07,Diesel,20026.1,
SML,2023-07-16,TN28BA9727,190,87.07,Diesel,16543.3,
SML,2023-07-17,KA01AH0744,300,87.07,Diesel,26120.999999999996,
SML,2023-07-17,AP39TQ7568,380,87.07,Diesel,33086.6,
SML,2023-07-18,KA01AH3353,270,87.07,Diesel,23508.899999999998,
SML,2023-07-19,KA01AG2219,240,87.07,Diesel,20896.8,
SML,2023-07-19,KA01AH0745,380,87.07,Diesel,33086.6,
SML,2023-07-20,TN28BA9727,290,87.07,Diesel,25250.3,
SML,2023-07-23,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-07-23,TN28AW1559,328,87.07,Diesel,28558.96,
SML,2023-07-24,TN28AW1459,324,87.07,Diesel,28210.679999999997,
SML,2023-07-24,KA01AE4419,240,87.07,Diesel,20896.8,
PAVITRA,2023-07-24,KA01AG2055,250,87.07,Diesel,21767.5,
GCC,2023-07-24,Milcy Turbo and  Cloth,5.903,87.07,Diesel,513.97421,,
